HA_ID_Number,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plotID,year,code,notes,sdlg_status,duplicate_tag
473,2108,1-ha,DIM,2108,167,B,8,FF-2,2008,resprouting,NA,NA,NA
641,2108,1-ha,DIM,2108,391,C,8,FF-2,2008,resprouting,NA,NA,NA
376,2108,1-ha,DIM,2108,39,C,9,FF-2,2009,resprouting,NA,NA,NA
524,2108,1-ha,DIM,2108,235,A,9,FF-2,2009,under branchfall,NA,NA,NA
702,2206,10-ha,DIM,2206,58,A,4,FF-5,2000,under branchfall,NA,NA,NA
664,2206,10-ha,DIM,2206,15,A,6,FF-5,2002,under branchfall,NA,NA,NA
668,2206,10-ha,DIM,2206,21,B,5,FF-5,2002,under branchfall,NA,NA,NA
678,2206,10-ha,DIM,2206,32,D,3,FF-5,2002,under branchfall,NA,NA,NA
720,2206,10-ha,DIM,2206,78,A,9,FF-5,2002,under branchfall,NA,NA,NA
726,2206,10-ha,DIM,2206,84,C,3,FF-5,2002,under branchfall,NA,NA,NA
742,2206,10-ha,DIM,2206,102,D,4,FF-5,2002,under branchfall,NA,NA,NA
743,2206,10-ha,DIM,2206,103,E,7,FF-5,2002,under branchfall,NA,NA,NA
787,2206,10-ha,DIM,2206,151,E,10,FF-5,2002,under treefall,NA,NA,NA
836,2206,10-ha,DIM,2206,204,D,3,FF-5,2002,under branchfall,NA,NA,NA
841,2206,10-ha,DIM,2206,210,E,10,FF-5,2002,under treefall,NA,NA,NA
728,2206,10-ha,DIM,2206,86,D,2,FF-5,2003,under branchfall,NA,NA,NA
757,2206,10-ha,DIM,2206,120,A,9,FF-5,2003,under branchfall,NA,NA,NA
769,2206,10-ha,DIM,2206,132,A,9,FF-5,2003,under branchfall,NA,NA,NA
770,2206,10-ha,DIM,2206,133,A,4,FF-5,2003,under branchfall,NA,NA,NA
659,2206,10-ha,DIM,2206,10,B,1,FF-5,2004,under branchfall,NA,NA,NA
662,2206,10-ha,DIM,2206,13,A,6,FF-5,2004,under branchfall,NA,NA,NA
664,2206,10-ha,DIM,2206,15,A,6,FF-5,2004,under branchfall,NA,NA,NA
666,2206,10-ha,DIM,2206,17,A,5,FF-5,2004,under branchfall,NA,NA,NA
728,2206,10-ha,DIM,2206,86,D,2,FF-5,2004,under treefall,NA,NA,NA
757,2206,10-ha,DIM,2206,120,A,9,FF-5,2004,under treefall,NA,NA,NA
769,2206,10-ha,DIM,2206,132,A,9,FF-5,2004,under treefall,NA,NA,NA
771,2206,10-ha,DIM,2206,134,D,1,FF-5,2004,under branchfall,NA,NA,NA
774,2206,10-ha,DIM,2206,137,A,5,FF-5,2004,under branchfall,NA,NA,NA
781,2206,10-ha,DIM,2206,144,A,4,FF-5,2004,under branchfall,NA,NA,NA
787,2206,10-ha,DIM,2206,151,E,10,FF-5,2004,under branchfall,NA,NA,NA
798,2206,10-ha,DIM,2206,163,E,9,FF-5,2004,under treefall,NA,NA,NA
910,2206,10-ha,DIM,2206,280,A,9,FF-5,2004,under branchfall,NA,NA,NA
787,2206,10-ha,DIM,2206,151,E,10,FF-5,2005,under treefall,NA,NA,NA
841,2206,10-ha,DIM,2206,210,E,10,FF-5,2005,under treefall,NA,NA,NA
848,2206,10-ha,DIM,2206,217,B,10,FF-5,2005,under branchfall,NA,NA,NA
863,2206,10-ha,DIM,2206,233,B,10,FF-5,2005,under branchfall,NA,NA,NA
885,2206,10-ha,DIM,2206,255,B,4,FF-5,2005,under branchfall,NA,NA,NA
711,2206,10-ha,DIM,2206,67,B,1,FF-5,2006,under branchfall,NA,NA,NA
770,2206,10-ha,DIM,2206,133,A,4,FF-5,2006,under treefall,NA,NA,NA
782,2206,10-ha,DIM,2206,145,B,8,FF-5,2006,under branchfall,NA,NA,NA
899,2206,10-ha,DIM,2206,270,B,10,FF-5,2006,under branchfall,NA,NA,NA
925,2206,10-ha,DIM,2206,295,B,9,FF-5,2006,under branchfall,NA,NA,NA
935,2206,10-ha,DIM,2206,331,C,10,FF-5,2006,2x in field,NA,NA,NA
938,2206,10-ha,DIM,2206,334,E,9,FF-5,2006,2x in field,NA,NA,NA
1073,5750,CF,EST,1501,209,D,6,CF-2,1999,under branchfall,NA,NA,NA
1174,5750,CF,EST,1501,314,F,10,CF-2,1999,under branchfall,NA,NA,NA
1016,5750,CF,EST,1501,151,C,8,CF-2,2002,under branchfall,NA,NA,NA
1036,5750,CF,EST,1501,172,C,10,CF-2,2002,under treefall,NA,NA,NA
1041,5750,CF,EST,1501,177,D,10,CF-2,2002,under treefall,NA,NA,NA
1054,5750,CF,EST,1501,190,C,9,CF-2,2002,under treefall,NA,NA,NA
1055,5750,CF,EST,1501,191,C,9,CF-2,2002,under treefall,NA,NA,NA
1059,5750,CF,EST,1501,195,C,10,CF-2,2002,under treefall,NA,NA,NA
1141,5750,CF,EST,1501,280,H,7,CF-2,2002,under treefall,NA,NA,NA
1142,5750,CF,EST,1501,281,H,7,CF-2,2002,under treefall,NA,NA,NA
1229,5750,CF,EST,1501,371,J,9,CF-2,2002,under treefall,NA,NA,NA
1242,5750,CF,EST,1501,384,J,9,CF-2,2002,under branchfall,NA,NA,NA
1261,5750,CF,EST,1501,403,J,9,CF-2,2002,under treefall,NA,NA,NA
1267,5750,CF,EST,1501,409,J,8,CF-2,2002,under treefall,NA,NA,NA
1281,5750,CF,EST,1501,423,J,8,CF-2,2002,under treefall,NA,NA,NA
1340,5750,CF,EST,1501,484,C,10,CF-2,2002,under treefall,NA,NA,NA
1341,5750,CF,EST,1501,485,D,9,CF-2,2002,under branchfall,NA,NA,NA
1386,5750,CF,EST,1501,531,J,9,CF-2,2002,under treefall,NA,NA,NA
1403,5750,CF,EST,1501,548,F,10,CF-2,2002,under branchfall,NA,NA,NA
1413,5750,CF,EST,1501,558,J,9,CF-2,2002,under branchfall,NA,NA,NA
1415,5750,CF,EST,1501,560,J,9,CF-2,2002,under treefall,NA,NA,NA
1446,5750,CF,EST,1501,591,J,9,CF-2,2002,under treefall,NA,NA,NA
1450,5750,CF,EST,1501,595,B,6,CF-2,2002,under branchfall,NA,NA,NA
1492,5750,CF,EST,1501,637,B,6,CF-2,2002,under branchfall,NA,NA,NA
1496,5750,CF,EST,1501,641,J,9,CF-2,2002,under treefall,NA,NA,NA
1510,5750,CF,EST,1501,655,J,8,CF-2,2002,under treefall,NA,NA,NA
1634,5750,CF,EST,1501,780,J,10,CF-2,2002,under treefall,NA,NA,NA
1637,5750,CF,EST,1501,783,J,10,CF-2,2002,under treefall,NA,NA,NA
1661,5750,CF,EST,1501,807,J,10,CF-2,2002,under treefall,NA,NA,NA
1726,5750,CF,EST,1501,872,C,10,CF-2,2002,under branchfall,NA,NA,NA
1728,5750,CF,EST,1501,874,A,10,CF-2,2002,under branchfall,NA,NA,NA
1731,5750,CF,EST,1501,878,A,10,CF-2,2002,under branchfall,NA,NA,NA
1742,5750,CF,EST,1501,889,C,10,CF-2,2002,under treefall,NA,NA,NA
1780,5750,CF,EST,1501,929,C,10,CF-2,2002,under treefall,NA,NA,NA
1796,5750,CF,EST,1501,945,A,10,CF-2,2002,under branchfall,NA,NA,NA
1808,5750,CF,EST,1501,957,A,10,CF-2,2002,under branchfall,NA,NA,NA
1438,5750,CF,EST,1501,583,E,8,CF-2,2003,under branchfall,NA,NA,NA
1447,5750,CF,EST,1501,592,B,8,CF-2,2003,under branchfall,NA,NA,NA
1808,5750,CF,EST,1501,957,A,10,CF-2,2003,under branchfall,NA,NA,NA
950,5750,CF,EST,1501,35,G,9,CF-2,2004,under treefall,NA,NA,NA
1178,5750,CF,EST,1501,319,C,8,CF-2,2004,under branchfall,NA,NA,NA
1259,5750,CF,EST,1501,401,J,9,CF-2,2004,under branchfall,NA,NA,NA
1271,5750,CF,EST,1501,413,J,10,CF-2,2004,under branchfall,NA,NA,NA
1371,5750,CF,EST,1501,516,J,9,CF-2,2004,under branchfall,NA,NA,NA
1401,5750,CF,EST,1501,546,F,10,CF-2,2004,under branchfall,NA,NA,NA
1733,5750,CF,EST,1501,880,J,9,CF-2,2004,under branchfall,NA,NA,NA
950,5750,CF,EST,1501,35,G,9,CF-2,2005,under branchfall,NA,NA,NA
