"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","ht","shts","code.notes","infl"
"5753","FF-4","1-ha","PAL","3114","3551",194,"B","10","",NA,2008,22,4,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3578",222,"C","1","2.8",3.9,2008,38,3,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3583",227,"B","9","5.1",4.45,2008,36,3,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3601",245,"C","2","1.7",9.4,2008,54,2,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3616",260,"C","2","5.3",3.8,2008,29,2,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3623",267,"C","3","5.9",8.2,2008,25,2,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3679",325,"C","1","6.9",1.13,2008,16,1,"not on list (40)",NA
"5753","FF-4","1-ha","PAL","3114","3680",326,"E","9","1.9",8,2001,24,1,"not on list (40)",0
"5756","CF-3","CF","EST","1501","3813",7,"A","8","",NA,2004,0,NA,"dead not on list (100)",0
"5756","CF-3","CF","EST","1501","3815",9,"A","5","3.3",5.9,1999,94,3,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4238",439,"C","6","8.3",7.5,1999,50,3,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4590",792,"A","7","0.3",2.9,2001,12,2,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4641",842,"B","7","4.3",8.2,2001,0,2,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4646",847,"B","7","0.9",0.5,2001,25,2,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4689",890,"A","5","2.7",2,2002,15,2,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4783",983,"A","7","",NA,2004,0,NA,"dead not on list (100)",0
"5756","CF-3","CF","EST","1501","4805",1205,"A","4","",NA,2004,NA,NA,"dead not on list (100)",NA
"5756","CF-3","CF","EST","1501","4831",1231,"E","3","",NA,2008,NA,NA,"not on list (40)",NA
"5756","CF-3","CF","EST","1501","4884",1285,"C","8","6.9",6.5,2005,60,3,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4908",1608,"D","10","0.9",3.5,2005,40,2,"not on list (40)",0
"5756","CF-3","CF","EST","1501","4987",1686,"E","2","",NA,2008,16,1,"not on list (40)",NA
"5756","CF-3","CF","EST","1501","5094",1796,"A","3","3.8",6.1,2008,34,1,"not on list (40)",NA
"CaboFrio-CF","CF-6","CF","PAL","3402","5410",267,"A","9","9.4",5.5,2004,26,3,"not on list (40)",0
"Dimona-CF","CF-4","CF","DIM","none","5659",86,"E","10","",NA,1999,39,2,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","5804",19,"B","4","8.5",9.3,2004,14,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","5817",32,"C","4","4.7",1.4,1999,57,4,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","5889",105,"C","4","2",3.9,1999,60,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","5890",106,"B","4","",NA,1999,NA,NA,"dead not on list (100)",NA
"Florestal-CF","CF-1","CF","EST","1301","5968",187,"A","9","",NA,1999,NA,NA,"dead not on list (100)",NA
"Florestal-CF","CF-1","CF","EST","1301","5969",188,"A","4","5.8",1.5,1999,48,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6057",277,"D","3","",NA,2004,0,NA,"dead not on list (100)",0
"Florestal-CF","CF-1","CF","EST","1301","6115",335,"C","10","4.8",8.7,2004,15,2,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6132",352,"E","7","4.1",7.9,1999,73,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6173",393,"D","4","5",8.3,1999,35,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6352",576,"E","1","5.2",0.9,2008,16,4,"not on list (40)",NA
"Florestal-CF","CF-1","CF","EST","1301","6501",727,"A","1","",NA,2002,21,3,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6512",738,"A","2","",NA,2002,10,1,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6676",904,"D","3","7.4",5.7,1999,56,2,"not on list (40)",0
"Florestal-CF","CF-1","CF","EST","1301","6712",941,"A","3","",NA,2002,16,2,"not on list (40)",0
