plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
FF-6,esteio,ten,1202,2000,214=305,214,
FF-6,esteio,ten,1202,2001,251,556,
FF-6,esteio,ten,1202,2001,308,585,
FF-7,porto alegre,ten,3209,2002,120,984,
FF-7,porto alegre,ten,3209,2000,170,625,
FF-7,porto alegre,ten,3209,2002,22,1354,
FF-7,porto alegre,ten,3209,2002,23,993,
FF-7,porto alegre,ten,3209,2002,26,1309,
FF-7,porto alegre,ten,3209,2002,27,1305,
FF-7,porto alegre,ten,3209,2001,297,1398,
FF-7,porto alegre,ten,3209,2001,300,1391,
FF-7,porto alegre,ten,3209,2001,316,1383,
FF-7,porto alegre,ten,3209,2003,321,806,
FF-7,porto alegre,ten,3209,2001,323,1390,
FF-7,porto alegre,ten,3209,2003,5,847,
FF-7,porto alegre,ten,3209,2002,501,632,
FF-7,porto alegre,ten,3209,2000,548,611,
FF-7,porto alegre,ten,3209,2002,57,928,
FF-7,porto alegre,ten,3209,2000,572,909,
FF-7,porto alegre,ten,3209,2001,608,1389,
FF-7,porto alegre,ten,3209,2001,632,1396,
FF-7,porto alegre,ten,3209,2003,PVC,24,
FF-7,porto alegre,ten,3209,2003,PVC,10,
FF-7,porto alegre,ten,3209,2003,PVC,61,
FF-7,porto alegre,ten,3209,2004,PVC,746,
FF-7,porto alegre,ten,3209,2003,PVC 10,801,
FF-7,porto alegre,ten,3209,2004,PVC 40,705,
FF-7,porto alegre,ten,3209,2003,PVC 61,832,
FF-7,porto alegre,ten,3209,2003,PVC 71,817,
FF-7,porto alegre,ten,3209,2003,PVC 73,831,
