HA_ID_Number,plot,habitat,ranch,bdffp_no,yr_isolated
7038,CF-1,forest,EST,1301,NA
7127,CF-1,forest,EST,1301,NA
7128,CF-1,forest,EST,1301,NA
7129,CF-1,forest,EST,1301,NA
7130,CF-1,forest,EST,1301,NA
7131,CF-1,forest,EST,1301,NA
7132,CF-1,forest,EST,1301,NA
7133,CF-1,forest,EST,1301,NA
7134,CF-1,forest,EST,1301,NA
7152,CF-1,forest,EST,1301,NA
7239,CF-1,forest,EST,1301,NA
7272,CF-1,forest,EST,1301,NA
7273,CF-1,forest,EST,1301,NA
7283,CF-1,forest,EST,1301,NA
7284,CF-1,forest,EST,1301,NA
7288,CF-1,forest,EST,1301,NA
7296,CF-1,forest,EST,1301,NA
7350,CF-1,forest,EST,1301,NA
7363,CF-1,forest,EST,1301,NA
7365,CF-1,forest,EST,1301,NA
5810,CF-1,forest,EST,1301,NA
5829,CF-1,forest,EST,1301,NA
5836,CF-1,forest,EST,1301,NA
5848,CF-1,forest,EST,1301,NA
5853,CF-1,forest,EST,1301,NA
5858,CF-1,forest,EST,1301,NA
5864,CF-1,forest,EST,1301,NA
5873,CF-1,forest,EST,1301,NA
5874,CF-1,forest,EST,1301,NA
5879,CF-1,forest,EST,1301,NA
5893,CF-1,forest,EST,1301,NA
5930,CF-1,forest,EST,1301,NA
5932,CF-1,forest,EST,1301,NA
5935,CF-1,forest,EST,1301,NA
5939,CF-1,forest,EST,1301,NA
5949,CF-1,forest,EST,1301,NA
5950,CF-1,forest,EST,1301,NA
5961,CF-1,forest,EST,1301,NA
5963,CF-1,forest,EST,1301,NA
5972,CF-1,forest,EST,1301,NA
5977,CF-1,forest,EST,1301,NA
6516,CF-1,forest,EST,1301,NA
6546,CF-1,forest,EST,1301,NA
7015,CF-1,forest,EST,1301,NA
7016,CF-1,forest,EST,1301,NA
7017,CF-1,forest,EST,1301,NA
7058,CF-1,forest,EST,1301,NA
7140,CF-1,forest,EST,1301,NA
7151,CF-1,forest,EST,1301,NA
7244,CF-1,forest,EST,1301,NA
7300,CF-1,forest,EST,1301,NA
7360,CF-1,forest,EST,1301,NA
7361,CF-1,forest,EST,1301,NA
5789,CF-1,forest,EST,1301,NA
5811,CF-1,forest,EST,1301,NA
5820,CF-1,forest,EST,1301,NA
5852,CF-1,forest,EST,1301,NA
5855,CF-1,forest,EST,1301,NA
5921,CF-1,forest,EST,1301,NA
5937,CF-1,forest,EST,1301,NA
5946,CF-1,forest,EST,1301,NA
6452,CF-1,forest,EST,1301,NA
6455,CF-1,forest,EST,1301,NA
6480,CF-1,forest,EST,1301,NA
6513,CF-1,forest,EST,1301,NA
6519,CF-1,forest,EST,1301,NA
6565,CF-1,forest,EST,1301,NA
6588,CF-1,forest,EST,1301,NA
6593,CF-1,forest,EST,1301,NA
6724,CF-1,forest,EST,1301,NA
7045,CF-1,forest,EST,1301,NA
7204,CF-1,forest,EST,1301,NA
7205,CF-1,forest,EST,1301,NA
7206,CF-1,forest,EST,1301,NA
7247,CF-1,forest,EST,1301,NA
7248,CF-1,forest,EST,1301,NA
7260,CF-1,forest,EST,1301,NA
7313,CF-1,forest,EST,1301,NA
5825,CF-1,forest,EST,1301,NA
5826,CF-1,forest,EST,1301,NA
5834,CF-1,forest,EST,1301,NA
5840,CF-1,forest,EST,1301,NA
5841,CF-1,forest,EST,1301,NA
5867,CF-1,forest,EST,1301,NA
5913,CF-1,forest,EST,1301,NA
5928,CF-1,forest,EST,1301,NA
5943,CF-1,forest,EST,1301,NA
6388,CF-1,forest,EST,1301,NA
6406,CF-1,forest,EST,1301,NA
6444,CF-1,forest,EST,1301,NA
6508,CF-1,forest,EST,1301,NA
6532,CF-1,forest,EST,1301,NA
6538,CF-1,forest,EST,1301,NA
6543,CF-1,forest,EST,1301,NA
6553,CF-1,forest,EST,1301,NA
6556,CF-1,forest,EST,1301,NA
6575,CF-1,forest,EST,1301,NA
6703,CF-1,forest,EST,1301,NA
6779,CF-1,forest,EST,1301,NA
6906,CF-1,forest,EST,1301,NA
6917,CF-1,forest,EST,1301,NA
7019,CF-1,forest,EST,1301,NA
7060,CF-1,forest,EST,1301,NA
7061,CF-1,forest,EST,1301,NA
7166,CF-1,forest,EST,1301,NA
7190,CF-1,forest,EST,1301,NA
7249,CF-1,forest,EST,1301,NA
7258,CF-1,forest,EST,1301,NA
7259,CF-1,forest,EST,1301,NA
7261,CF-1,forest,EST,1301,NA
7263,CF-1,forest,EST,1301,NA
7316,CF-1,forest,EST,1301,NA
7317,CF-1,forest,EST,1301,NA
7318,CF-1,forest,EST,1301,NA
7319,CF-1,forest,EST,1301,NA
7320,CF-1,forest,EST,1301,NA
7364,CF-1,forest,EST,1301,NA
7366,CF-1,forest,EST,1301,NA
5869,CF-1,forest,EST,1301,NA
5899,CF-1,forest,EST,1301,NA
5901,CF-1,forest,EST,1301,NA
5962,CF-1,forest,EST,1301,NA
5968,CF-1,forest,EST,1301,NA
5973,CF-1,forest,EST,1301,NA
6514,CF-1,forest,EST,1301,NA
6722,CF-1,forest,EST,1301,NA
6726,CF-1,forest,EST,1301,NA
6838,CF-1,forest,EST,1301,NA
6951,CF-1,forest,EST,1301,NA
7006,CF-1,forest,EST,1301,NA
5819,CF-1,forest,EST,1301,NA
5843,CF-1,forest,EST,1301,NA
5895,CF-1,forest,EST,1301,NA
5927,CF-1,forest,EST,1301,NA
6522,CF-1,forest,EST,1301,NA
6548,CF-1,forest,EST,1301,NA
6667,CF-1,forest,EST,1301,NA
7020,CF-1,forest,EST,1301,NA
7021,CF-1,forest,EST,1301,NA
7257,CF-1,forest,EST,1301,NA
5794,CF-1,forest,EST,1301,NA
5850,CF-1,forest,EST,1301,NA
5860,CF-1,forest,EST,1301,NA
5902,CF-1,forest,EST,1301,NA
5947,CF-1,forest,EST,1301,NA
5948,CF-1,forest,EST,1301,NA
5960,CF-1,forest,EST,1301,NA
6505,CF-1,forest,EST,1301,NA
6597,CF-1,forest,EST,1301,NA
6599,CF-1,forest,EST,1301,NA
6601,CF-1,forest,EST,1301,NA
6639,CF-1,forest,EST,1301,NA
6746,CF-1,forest,EST,1301,NA
6753,CF-1,forest,EST,1301,NA
6754,CF-1,forest,EST,1301,NA
6816,CF-1,forest,EST,1301,NA
6819,CF-1,forest,EST,1301,NA
6823,CF-1,forest,EST,1301,NA
6835,CF-1,forest,EST,1301,NA
6842,CF-1,forest,EST,1301,NA
6866,CF-1,forest,EST,1301,NA
6874,CF-1,forest,EST,1301,NA
6897,CF-1,forest,EST,1301,NA
6950,CF-1,forest,EST,1301,NA
6966,CF-1,forest,EST,1301,NA
7072,CF-1,forest,EST,1301,NA
7095,CF-1,forest,EST,1301,NA
7176,CF-1,forest,EST,1301,NA
7191,CF-1,forest,EST,1301,NA
7276,CF-1,forest,EST,1301,NA
5787,CF-1,forest,EST,1301,NA
5793,CF-1,forest,EST,1301,NA
5818,CF-1,forest,EST,1301,NA
5837,CF-1,forest,EST,1301,NA
5856,CF-1,forest,EST,1301,NA
5881,CF-1,forest,EST,1301,NA
5952,CF-1,forest,EST,1301,NA
5964,CF-1,forest,EST,1301,NA
6503,CF-1,forest,EST,1301,NA
6544,CF-1,forest,EST,1301,NA
6591,CF-1,forest,EST,1301,NA
6617,CF-1,forest,EST,1301,NA
6624,CF-1,forest,EST,1301,NA
6629,CF-1,forest,EST,1301,NA
6675,CF-1,forest,EST,1301,NA
6742,CF-1,forest,EST,1301,NA
6748,CF-1,forest,EST,1301,NA
6751,CF-1,forest,EST,1301,NA
6825,CF-1,forest,EST,1301,NA
6826,CF-1,forest,EST,1301,NA
6833,CF-1,forest,EST,1301,NA
6836,CF-1,forest,EST,1301,NA
6843,CF-1,forest,EST,1301,NA
6851,CF-1,forest,EST,1301,NA
6855,CF-1,forest,EST,1301,NA
6858,CF-1,forest,EST,1301,NA
6859,CF-1,forest,EST,1301,NA
6861,CF-1,forest,EST,1301,NA
6862,CF-1,forest,EST,1301,NA
6865,CF-1,forest,EST,1301,NA
6867,CF-1,forest,EST,1301,NA
6879,CF-1,forest,EST,1301,NA
6891,CF-1,forest,EST,1301,NA
6912,CF-1,forest,EST,1301,NA
6923,CF-1,forest,EST,1301,NA
6938,CF-1,forest,EST,1301,NA
6949,CF-1,forest,EST,1301,NA
6952,CF-1,forest,EST,1301,NA
6975,CF-1,forest,EST,1301,NA
7007,CF-1,forest,EST,1301,NA
7025,CF-1,forest,EST,1301,NA
7026,CF-1,forest,EST,1301,NA
7027,CF-1,forest,EST,1301,NA
7077,CF-1,forest,EST,1301,NA
7268,CF-1,forest,EST,1301,NA
7275,CF-1,forest,EST,1301,NA
7285,CF-1,forest,EST,1301,NA
7321,CF-1,forest,EST,1301,NA
7323,CF-1,forest,EST,1301,NA
5812,CF-1,forest,EST,1301,NA
5822,CF-1,forest,EST,1301,NA
5884,CF-1,forest,EST,1301,NA
5908,CF-1,forest,EST,1301,NA
5909,CF-1,forest,EST,1301,NA
5911,CF-1,forest,EST,1301,NA
5934,CF-1,forest,EST,1301,NA
6386,CF-1,forest,EST,1301,NA
6404,CF-1,forest,EST,1301,NA
6537,CF-1,forest,EST,1301,NA
6741,CF-1,forest,EST,1301,NA
6747,CF-1,forest,EST,1301,NA
6803,CF-1,forest,EST,1301,NA
6820,CF-1,forest,EST,1301,NA
6841,CF-1,forest,EST,1301,NA
6846,CF-1,forest,EST,1301,NA
6890,CF-1,forest,EST,1301,NA
6893,CF-1,forest,EST,1301,NA
6899,CF-1,forest,EST,1301,NA
6908,CF-1,forest,EST,1301,NA
6910,CF-1,forest,EST,1301,NA
6926,CF-1,forest,EST,1301,NA
6959,CF-1,forest,EST,1301,NA
6979,CF-1,forest,EST,1301,NA
6980,CF-1,forest,EST,1301,NA
6981,CF-1,forest,EST,1301,NA
