plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plotID,year,code,notes,duplicate_tag
2816,5752,10-ha,EST,1202,754,B,4,FF-6,2005,no tag,no tag,NA
2817,5752,10-ha,EST,1202,755,B,4,FF-6,2005,no tag,no tag,NA
2604,5752,10-ha,EST,1202,794,A,2,FF-6,2005,no tag,no tag,NA
2605,5752,10-ha,EST,1202,795,A,2,FF-6,2005,no tag,no tag,NA
2615,5752,10-ha,EST,1202,797,A,3,FF-6,2005,no tag,no tag,NA
3562,5753,1-ha,PAL,3114,267,C,3,FF-4,2000,no tag,no tag,NA
3794,5753,1-ha,PAL,3114,329,E,9,FF-4,2000,no tag,no tag,NA
3553,5753,1-ha,PAL,3114,336,C,10,FF-4,2000,no tag,no tag,NA
3791,5753,1-ha,PAL,3114,308,E,9,FF-4,2001,no tag,no tag,NA
3792,5753,1-ha,PAL,3114,317,E,9,FF-4,2001,no tag,no tag,NA
3796,5753,1-ha,PAL,3114,332,E,9,FF-4,2001,no tag,no tag,NA
3481,5753,1-ha,PAL,3114,340,B,2,FF-4,2001,no tag,no tag,NA
3798,5753,1-ha,PAL,3114,344,E,9,FF-4,2001,no tag,no tag,NA
3480,5753,1-ha,PAL,3114,311,B,2,FF-4,2003,no tag,no tag,NA
3692,5753,1-ha,PAL,3114,322,E,2,FF-4,2003,no tag,no tag,NA
3499,5753,1-ha,PAL,3114,348,B,4,FF-4,2005,no tag,no tag,NA
4118,5754,10-ha,PortoAlegre,3209,606,B,4,FF-7,2000,no tag,no tag,NA
4089,5754,10-ha,PortoAlegre,3209,610,B,3,FF-7,2000,no tag,no tag,NA
4090,5754,10-ha,PortoAlegre,3209,614,B,3,FF-7,2000,no tag,no tag,NA
4119,5754,10-ha,PortoAlegre,3209,618,B,4,FF-7,2000,no tag,no tag,NA
4091,5754,10-ha,PortoAlegre,3209,638,B,3,FF-7,2000,no tag,no tag,NA
4093,5754,10-ha,PortoAlegre,3209,651,B,3,FF-7,2000,no tag,no tag,NA
4121,5754,10-ha,PortoAlegre,3209,654,B,4,FF-7,2000,no tag,no tag,NA
4094,5754,10-ha,PortoAlegre,3209,655,B,3,FF-7,2000,no tag,no tag,NA
4095,5754,10-ha,PortoAlegre,3209,666,B,3,FF-7,2000,no tag,no tag,NA
4096,5754,10-ha,PortoAlegre,3209,667,B,3,FF-7,2000,no tag,no tag,NA
4515,5754,10-ha,PortoAlegre,3209,673,D,7,FF-7,2000,no tag,no tag,NA
4691,5754,10-ha,PortoAlegre,3209,1301,E,5,FF-7,2001,no tag,no tag,NA
4649,5754,10-ha,PortoAlegre,3209,1310,E,4,FF-7,2001,no tag,no tag,NA
4650,5754,10-ha,PortoAlegre,3209,1311,E,4,FF-7,2001,no tag,no tag,NA
4651,5754,10-ha,PortoAlegre,3209,1313,E,4,FF-7,2001,no tag,no tag,NA
4364,5754,10-ha,PortoAlegre,3209,1356,C,6,FF-7,2001,no tag,no tag,NA
4103,5754,10-ha,PortoAlegre,3209,1365,B,3,FF-7,2001,no tag,no tag,NA
4106,5754,10-ha,PortoAlegre,3209,1372,B,3,FF-7,2001,no tag,no tag,NA
4138,5754,10-ha,PortoAlegre,3209,1381,B,4,FF-7,2001,no tag,no tag,NA
4139,5754,10-ha,PortoAlegre,3209,1395,B,4,FF-7,2001,no tag,no tag,NA
4521,5754,10-ha,PortoAlegre,3209,701,D,7,FF-7,2002,no tag,no tag,NA
4522,5754,10-ha,PortoAlegre,3209,702,D,7,FF-7,2002,no tag,no tag,NA
4523,5754,10-ha,PortoAlegre,3209,706,D,7,FF-7,2002,no tag,no tag,NA
4524,5754,10-ha,PortoAlegre,3209,707,D,7,FF-7,2002,no tag,no tag,NA
4525,5754,10-ha,PortoAlegre,3209,711,D,7,FF-7,2002,no tag,no tag,NA
