HA_ID_Number,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plotID,year,code,notes,sdlg_status,duplicate_tag
329,2107,1-ha,DIM,2107,386,D,10,FF-1,2008,new plant in plot,NA,NA,NA
330,2107,1-ha,DIM,2107,387,D,9,FF-1,2008,ULY,NA,NA,NA
334,2107,1-ha,DIM,2107,391,D,9,FF-1,2008,ULY,NA,NA,NA
337,2107,1-ha,DIM,2107,399,B,10,FF-1,2008,new plant in plot,NA,NA,NA
338,2107,1-ha,DIM,2107,400,B,10,FF-1,2008,new plant in plot,NA,NA,NA
502,2108,1-ha,DIM,2108,209,B,2,FF-2,2000,ULY,NA,NA,NA
507,2108,1-ha,DIM,2108,215,E,7,FF-2,2000,ULY,NA,NA,NA
520,2108,1-ha,DIM,2108,231,D,1,FF-2,2000,ULY,NA,NA,NA
584,2108,1-ha,DIM,2108,299,D,2,FF-2,2000,ULY,NA,NA,NA
399,2108,1-ha,DIM,2108,64,D,1,FF-2,2001,ULY,NA,NA,NA
530,2108,1-ha,DIM,2108,241,C,8,FF-2,2001,ULY,NA,NA,NA
524,2108,1-ha,DIM,2108,235,A,9,FF-2,2002,ULY,NA,NA,NA
534,2108,1-ha,DIM,2108,245,E,7,FF-2,2004,no tag,NA,NA,NA
596,2108,1-ha,DIM,2108,311,C,8,FF-2,2004,no tag,NA,NA,NA
605,2108,1-ha,DIM,2108,320,B,5,FF-2,2004,no tag,NA,NA,NA
609,2108,1-ha,DIM,2108,324,D,3,FF-2,2004,no tag,NA,NA,NA
537,2108,1-ha,DIM,2108,248,C,7,FF-2,2005,no tag,NA,NA,NA
542,2108,1-ha,DIM,2108,253,E,10,FF-2,2005,no tag,NA,NA,NA
545,2108,1-ha,DIM,2108,256,E,10,FF-2,2005,no tag,NA,NA,NA
546,2108,1-ha,DIM,2108,257,E,10,FF-2,2005,no tag,NA,NA,NA
547,2108,1-ha,DIM,2108,258,E,10,FF-2,2005,no tag,NA,NA,NA
548,2108,1-ha,DIM,2108,259,E,10,FF-2,2005,no tag,NA,NA,NA
553,2108,1-ha,DIM,2108,264,E,3,FF-2,2005,no tag,NA,NA,NA
554,2108,1-ha,DIM,2108,265,D,3,FF-2,2005,no tag,NA,NA,NA
555,2108,1-ha,DIM,2108,266,D,3,FF-2,2005,no tag,NA,NA,NA
556,2108,1-ha,DIM,2108,267,C,3,FF-2,2005,no tag,NA,NA,NA
650,2108,1-ha,DIM,2108,400,A,6,FF-2,2006,ULY,NA,NA,NA
579,2108,1-ha,DIM,2108,294,D,9,FF-2,2007,ULY,NA,NA,NA
586,2108,1-ha,DIM,2108,301,D,9,FF-2,2007,ULY,NA,NA,NA
642,2108,1-ha,DIM,2108,392,D,8,FF-2,2007,ULY,NA,NA,NA
643,2108,1-ha,DIM,2108,393,C,9,FF-2,2007,ULY,NA,NA,NA
341,2108,1-ha,DIM,2108,4,C,4,FF-2,2008,ULY,NA,NA,NA
352,2108,1-ha,DIM,2108,16,B,7,FF-2,2008,ULY,NA,NA,NA
392,2108,1-ha,DIM,2108,57,C,7,FF-2,2008,ULY,NA,NA,NA
394,2108,1-ha,DIM,2108,59,A,9,FF-2,2008,ULY,NA,NA,NA
