"plot","plotID","habitat","ranch","bdffp_reserve_no","HA_ID_Number","tag_number","row","column","x_09","y_09","year","code.notes"
"2108","FF-2","1-ha","Dimona","2108","425",91,"A","9","2.6",2.4,2006,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","508",216,"A","7","4",4,2006,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","362",25,"D","4","7.8",3.2,2007,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","401",66,"C","9","",NA,2007,"2x in field (200)"
"2108","FF-2","1-ha","Dimona","2108","459",143,"B","2","1.7",5.6,2007,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","417",82,"E","9","0.2",2.9,2008,"under branchfall (90)"
"2108","FF-2","1-ha","Dimona","2108","473",167,"B","8","4.1",8.1,2008,"resprouting (10)"
"2108","FF-2","1-ha","Dimona","2108","641",391,"C","8","6.5",0.5,2008,"resprouting (10)"
"2108","FF-2","1-ha","Dimona","2108","376",39,"C","9","4.3",3.5,2009,"resprouting (10)"
"2108","FF-2","1-ha","Dimona","2108","524",235,"A","9","9.5",7,2009,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","702",58,"A","4","",NA,2000,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","664",15,"A","6","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","668",21,"B","5","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","678",32,"D","3","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","720",78,"A","9","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","726",84,"C","3","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","742",102,"D","4","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","743",103,"E","7","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","787",151,"E","10","",NA,2002,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","836",204,"D","3","",NA,2002,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","841",210,"E","10","",NA,2002,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","728",86,"D","2","",NA,2003,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","757",120,"A","9","",NA,2003,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","769",132,"A","9","",NA,2003,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","770",133,"A","4","",NA,2003,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","659",10,"B","1","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","662",13,"A","6","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","664",15,"A","6","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","666",17,"A","5","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","728",86,"D","2","",NA,2004,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","757",120,"A","9","",NA,2004,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","769",132,"A","9","",NA,2004,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","771",134,"D","1","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","774",137,"A","5","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","781",144,"A","4","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","787",151,"E","10","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","798",163,"E","9","",NA,2004,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","910",280,"A","9","",NA,2004,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","787",151,"E","10","",NA,2005,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","841",210,"E","10","",NA,2005,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","848",217,"B","10","",NA,2005,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","863",233,"B","10","",NA,2005,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","885",255,"B","4","",NA,2005,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","711",67,"B","1","",NA,2006,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","770",133,"A","4","",NA,2006,"under treefall (80)"
"2206","FF-5","10-ha","Dimona","2206","782",145,"B","8","",NA,2006,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","900",270,"C","10","",NA,2006,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","925",295,"B","9","",NA,2006,"under branchfall (90)"
"2206","FF-5","10-ha","Dimona","2206","935",331,"C","10","",NA,2006,"2x in field (200)"
"2206","FF-5","10-ha","Dimona","2206","938",334,"E","9","",NA,2006,"2x in field (200)"
"5750","CF-2","CF","Esteio-Colosso","1501","1073",209,"D","6","5.9",2.2,1999,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1174",314,"F","10","8.2",8.5,1999,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1016",151,"C","8","9",0.5,2002,"under branchfall (90)"
"5750","CF-2","CF","Esteio-Colosso","1501","1036",172,"C","10","5.6",9.8,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1041",177,"D","10","9.6",8.6,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1054",190,"C","9","",NA,2002,"under treefall (80)"
"5750","CF-2","CF","Esteio-Colosso","1501","1055",191,"C","9","3.1",0.3,2002,"under treefall (80)"
