"HA.plot","plot","habitat","ranch","bdffp_reserve_no","tag_number","row","column","year","code.notes"
"FF-7","5754","10-ha","PortoAlegre",3209,"434","B","8",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"439","A","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"440","C","7",2000,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"485","A","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"488","A","5",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"489","A","7",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"567","E","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"613","C","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1305","B","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1309","B","7",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1383","A","6",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1390","C","4",2000,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"17","C","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"89","A","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"94","B","6",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"103","A","10",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"107","B","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"131","B","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"163","E","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"184","A","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"188","E","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"207","B","6",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"223","D","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"247","E","3",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"248","E","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"260","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"269","B","2",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"284","B","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"289","E","4",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"296","D","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"298","D","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"304","B","6",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"320","A","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"323","C","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"325","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"329","D","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"330","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"334","B","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"342","B","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"348","C","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"363","E","2",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"366","B","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"382","C","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"398","D","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"443","A","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"477","A","3",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"489","A","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"609","B","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"612","E","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"613","C","4",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"622","E","3",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"671","D","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"682","D","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"688","D","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"694","D","7",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"699","D","9",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"717","C","6",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"778","C","6",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"904","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"917","E","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"920","E","2",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"923","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"947","E","1",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1305","B","6",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1309","B","7",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1313","E","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1318","D","5",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1320","C","7",2002,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1361","C","4",2002,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"94","B","6",2003,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"207","B","6",2003,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"183","B","9",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"334","B","4",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"625","A","8",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"661","B","8",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"717","C","6",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"729","E","4",2004,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"733","E","4",2004,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"775","C","8",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"925","E","3",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1311","E","4",2004,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1319","E","4",2004,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"1375","B","10",2004,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"133","C","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"141","C","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"157","C","9",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"197","B","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"215","A","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"284","B","1",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"365","E","4",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"403","B","1",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"712","C","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"800","C","8",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"810","A","5",2005,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"76","E","9",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"135","B","10",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"202","C","9",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"213","A","8",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"240","A","9",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"334","B","4",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"350","E","3",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"398","D","4",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"663","B","2",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"814","A","8",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"818","B","7",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"858","A","8",2006,"under branchfall (90)"
"FF-7","5754","10-ha","PortoAlegre",3209,"859","A","8",2006,"under treefall (80)"
"FF-7","5754","10-ha","PortoAlegre",3209,"928","A","9",2006,"under branchfall (90)"
