plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status
887,2206,10-ha,DIM,2206,207,D,6,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
935,2206,10-ha,DIM,2206,211,E,8,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
901,2206,10-ha,DIM,2206,213,E,10,FF-5,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
900,2206,10-ha,DIM,2206,210,E,10,FF-5,2001,ULY,NA,TRUE,FALSE,NA,NA,measured
936,2206,10-ha,DIM,2206,22,E,9,FF-5,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
676,2206,10-ha,DIM,2206,253,A,4,FF-5,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
725,2206,10-ha,DIM,2206,270,B,10,FF-5,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
893,2206,10-ha,DIM,2206,149,D,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
802,2206,10-ha,DIM,2206,323,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
803,2206,10-ha,DIM,2206,333,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
804,2206,10-ha,DIM,2206,335,B,9,FF-5,2006,ULY,NA,TRUE,FALSE,NA,NA,measured
2135,5750,CF,EST,1501,558,J,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2137,5750,CF,EST,1501,562,J,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1789,5750,CF,EST,1501,570,H,7,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2083,5750,CF,EST,1501,578,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1419,5750,CF,EST,1501,587,D,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2058,5750,CF,EST,1501,598,J,7,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1511,5750,CF,EST,1501,600,F,10,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1512,5750,CF,EST,1501,601,F,10,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1288,5750,CF,EST,1501,615,C,9,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1572,5750,CF,EST,1501,633,F,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2086,5750,CF,EST,1501,652,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
2087,5750,CF,EST,1501,654,J,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1819,5750,CF,EST,1501,657,H,8,CF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured
1125,5750,CF,EST,1501,701,B,7,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1376,5750,CF,EST,1501,743,D,6,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1377,5750,CF,EST,1501,759,D,6,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1038,5750,CF,EST,1501,767,A,8,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1998,5750,CF,EST,1501,810,J,10,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
2000,5750,CF,EST,1501,827,J,10,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1064,5750,CF,EST,1501,828,A,9,CF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured
1324,5750,CF,EST,1501,869,C,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
1689,5750,CF,EST,1501,882,G,9,CF-2,2004,ULY,NA,TRUE,FALSE,NA,NA,measured
