plant_id,plot,habitat,ranch,bdffp_reserve_no,tag_number,row,column,plot_id,year,code,duplicate_tag,adult_no_tag,recorded_sdlg,treefall_status,condition,census_status,subplot
626,2108,1-ha,DIM,2108,215,E,7,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,E7
527,2108,1-ha,DIM,2108,231,D,1,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
543,2108,1-ha,DIM,2108,299,D,2,FF-2,2000,ULY,NA,TRUE,FALSE,NA,NA,measured,D2
520,2108,1-ha,DIM,2108,64,D,1,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,D1
500,2108,1-ha,DIM,2108,241,C,8,FF-2,2001,ULY,NA,TRUE,FALSE,NA,NA,measured,C8
398,2108,1-ha,DIM,2108,235,A,9,FF-2,2002,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
381,2108,1-ha,DIM,2108,400,A,6,FF-2,2006,ULY,NA,TRUE,FALSE,NA,NA,measured,A6
601,2108,1-ha,DIM,2108,294,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
603,2108,1-ha,DIM,2108,301,D,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D9
595,2108,1-ha,DIM,2108,392,D,8,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,D8
518,2108,1-ha,DIM,2108,393,C,9,FF-2,2007,ULY,NA,TRUE,FALSE,NA,NA,measured,C9
478,2108,1-ha,DIM,2108,4,C,4,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C4
444,2108,1-ha,DIM,2108,16,B,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B7
490,2108,1-ha,DIM,2108,57,C,7,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,C7
393,2108,1-ha,DIM,2108,59,A,9,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,A9
451,2108,1-ha,DIM,2108,70,B,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,B8
637,2108,1-ha,DIM,2108,86,E,8,FF-2,2008,ULY,NA,TRUE,FALSE,NA,NA,measured,E8
