plot_id,plot,ranch,habitat,bdffp_no,year,old_tag_no,new_tag_number,notes
CF-2,5750,esteio,forest,1501,2004,21,973,NA
CF-2,5750,esteio,forest,1501,2004,22,1301,NA
CF-2,5750,esteio,forest,1501,2004,23,912,NA
CF-2,5750,esteio,forest,1501,2004,24,945,NA
CF-2,5750,esteio,forest,1501,2007,247,2066,NA
CF-2,5750,esteio,forest,1501,2004,25,930,NA
CF-2,5750,esteio,forest,1501,2004,26,957,NA
CF-2,5750,esteio,forest,1501,2004,27,955,NA
CF-2,5750,esteio,forest,1501,2004,28,874,NA
CF-2,5750,esteio,forest,1501,2004,3,998,NA
CF-2,5750,esteio,forest,1501,2004,30,904,NA
CF-2,5750,esteio,forest,1501,2004,31,889,NA
CF-2,5750,esteio,forest,1501,2004,32,913,NA
CF-2,5750,esteio,forest,1501,2006,342,1425,NA
CF-2,5750,esteio,forest,1501,2000,349,575,NA
CF-2,5750,esteio,forest,1501,2007,36,2018,NA
CF-2,5750,esteio,forest,1501,2007,36,2018,NA
CF-2,5750,esteio,forest,1501,2004,37,939,NA
CF-2,5750,esteio,forest,1501,2004,38,899,NA
CF-2,5750,esteio,forest,1501,2004,4,1317,NA
CF-2,5750,esteio,forest,1501,2004,41,921,NA
CF-2,5750,esteio,forest,1501,2004,42,879,NA
CF-2,5750,esteio,forest,1501,2004,43,875,NA
CF-2,5750,esteio,forest,1501,2004,44,961,NA
CF-2,5750,esteio,forest,1501,2004,45,878,NA
CF-2,5750,esteio,forest,1501,2004,46,884,NA
CF-2,5750,esteio,forest,1501,2006,465,1436,NA
CF-2,5750,esteio,forest,1501,2006,468,1415,NA
CF-2,5750,esteio,forest,1501,2004,48,906,NA
CF-2,5750,esteio,forest,1501,2004,5,962,NA
CF-2,5750,esteio,forest,1501,2004,50,935,NA
CF-2,5750,esteio,forest,1501,2004,51,986,NA
CF-2,5750,esteio,forest,1501,2004,52,1329,NA
CF-2,5750,esteio,forest,1501,2004,53,872,NA
CF-2,5750,esteio,forest,1501,2004,54,907,NA
CF-2,5750,esteio,forest,1501,2004,55,929,NA
CF-2,5750,esteio,forest,1501,2004,56,1392,NA
