plot_id,plant_id,year,treefall_status
CF-3,5355,2004,branch
CF-3,5357,2002,branch
CF-3,5357,2004,branch
CF-3,5357,2005,branch
CF-3,5361,2009,branch
CF-3,5369,2005,branch
CF-3,5369,2006,branch
CF-3,5369,2007,branch
CF-3,5372,2004,branch
CF-3,5372,2005,branch
CF-3,5372,2007,branch
CF-3,5386,2009,branch
CF-3,5418,2004,branch
CF-3,5429,2002,branch
CF-3,5430,2002,branch
CF-3,5434,2007,branch
CF-3,5444,2002,branch
CF-3,5452,2003,branch
CF-3,5453,2004,branch
CF-3,5453,2005,branch
CF-3,5453,2006,branch
CF-3,5453,2007,branch
CF-3,5459,2007,branch
CF-3,5483,2004,branch
CF-3,5488,2009,branch
CF-3,5500,2002,branch
CF-3,5500,2006,branch
CF-3,5503,2004,branch
CF-3,5522,2002,branch
CF-3,5534,2002,branch
CF-3,5534,2005,branch
CF-3,5534,2006,branch
CF-3,5534,2009,branch
CF-3,5545,2004,branch
CF-3,5548,2002,branch
CF-3,5564,2008,branch
CF-3,5574,2004,branch
CF-3,5575,2005,branch
CF-3,5576,2009,branch
CF-3,5590,2002,branch
CF-3,5596,2006,litter
CF-3,5604,2006,branch
CF-3,5604,2007,branch
CF-3,5605,2009,branch
CF-3,5606,2004,branch
CF-3,5611,2006,branch
CF-3,5628,2006,branch
CF-3,5640,2004,branch
CF-3,5653,2002,branch
CF-3,5682,2005,branch
CF-3,5690,2003,branch
CF-3,5693,2000,branch
CF-3,5695,2002,branch
CF-3,5704,2009,branch
CF-3,5713,2009,branch
CF-3,5720,2009,branch
CF-3,5721,2002,branch
CF-3,5758,2009,branch
CF-3,5763,2002,branch
CF-3,5782,2002,branch
CF-3,5782,2005,branch
CF-3,5795,2007,branch
CF-3,5799,2002,branch
CF-3,5822,2007,branch
CF-3,5826,2006,branch
CF-3,5835,2002,branch
CF-3,5836,2003,branch
CF-3,5841,2002,branch
CF-3,5870,2006,branch
CF-3,5882,2007,branch
CF-3,5894,2009,branch
CF-3,5897,2009,branch
CF-3,5913,2004,branch
CF-3,5953,2005,branch
CF-3,5958,2005,branch
CF-3,5966,2005,branch
CF-3,5979,2002,branch
CF-3,5980,2007,branch
CF-3,5981,2002,branch
CF-3,5998,2002,branch
CF-3,6036,2002,branch
CF-3,6043,2002,branch
CF-3,6049,2005,branch
CF-3,6072,2004,branch
CF-3,6074,2005,branch
CF-3,6077,2002,branch
CF-3,6113,2002,branch
CF-3,6118,2004,branch
CF-3,6124,2002,branch
CF-3,6127,2009,branch
CF-6,6159,2002,branch
CF-6,6159,2005,branch
CF-6,6160,2004,branch
CF-6,6162,2004,branch
CF-6,6174,2004,branch
CF-6,6174,2005,branch
CF-6,6175,2009,branch
CF-6,6197,2004,branch
CF-6,6230,2004,branch
CF-6,6238,2005,branch
CF-6,6261,2002,branch
CF-6,6273,2002,branch
CF-6,6301,2004,litter
CF-6,6312,2006,branch
CF-6,6312,2007,branch
CF-6,6316,2002,branch
CF-6,6316,2004,branch
CF-6,6318,2004,branch
CF-6,6318,2006,branch
CF-6,6320,2004,branch
CF-6,6320,2006,branch
CF-6,6323,2006,branch
CF-6,6330,2004,branch
CF-6,6332,2002,branch
CF-6,6334,2007,branch
CF-6,6337,2007,branch
CF-6,6366,2007,"under branchfall, resprouting"
CF-6,6372,2004,branch
CF-6,6372,2006,branch
CF-6,6373,2006,branch
CF-6,6374,2006,branch
CF-6,6379,2004,branch
CF-6,6410,2006,branch
CF-6,6425,2004,branch
CF-6,6474,2006,branch
CF-6,6488,2002,branch
CF-6,6490,2006,branch
CF-6,6497,2006,branch
CF-6,6497,2007,branch
CF-6,6507,2006,branch
CF-6,6511,2006,branch
CF-6,6535,2004,branch
CF-6,6535,2005,branch
CF-4,6575,2002,branch
CF-4,6600,2007,branch
CF-4,6611,2006,branch
CF-4,6619,2002,branch
CF-4,6623,2004,branch
CF-4,6623,2005,branch
CF-4,6627,2005,branch
CF-4,6632,2006,branch
CF-4,6642,2004,branch
CF-4,6651,2005,branch
CF-4,6656,2004,branch
CF-4,6679,2002,branch
CF-4,6701,2009,branch
CF-4,6758,2006,branch
CF-1,6781,2000,tree
CF-1,6782,2004,branch
CF-1,6805,2002,branch
CF-1,6826,2004,branch
CF-1,6835,2003,branch
CF-1,6849,2006,branch
CF-1,6850,2006,branch
CF-1,6872,2004,branch
CF-1,6882,2006,branch
CF-1,6892,2003,branch
CF-1,6892,2006,branch
CF-1,6895,2003,branch
CF-1,6895,2007,branch
CF-1,6896,2005,branch
CF-1,6897,2009,branch
CF-1,6900,2007,branch
CF-1,6901,2007,branch
CF-1,6902,2007,branch
CF-1,6903,2007,branch
CF-1,6927,2002,branch
CF-1,6933,2002,branch
CF-1,7003,2003,branch
